"Sample number","Location","Type","Treatment","Size","Species","Plant type","Height","Width_farthest","Width_perpendicular","Branch_length","Branch_diameter","Basal_circ","Stem_diameter","Stem_height","Stem_density","Branches_per_stem","Leaves_per_branch","Total_leaves","Leaf_lmax","Leaf_lmin","Leaf_lavg","Leaf_wmax","Leaf_wmin","Leaf_wavg","Leaf_tmax","Leaf_tmin","Leaf_tavg","Biomass","Measurement_location"
86,"SME","natural","vegetated","medium","Baccharis pilularis","shrub",48,74,71,53.9,0.44,30.5,1.3,NA,NA,48,20.2,NA,19,11,14,16,11,13.6,0.1,0.06,0.082,166.61,"field/lab"
87,"SME","natural","vegetated","large","Baccharis pilularis","shrub",52,82,68,45.2,0.466,72.5,NA,NA,NA,40,26.2,NA,16.5,11.7,14.04,47,30,39.6,0.07,0.1,0.08,385.97,"field"
89,"SME","natural","vegetated","large","Baccharis pilularis","shrub",71,72,69,50.6,0.691,31,NA,NA,NA,41,28.6,NA,14.5,9.5,11.6,24,13,19.6,0.07,0.05,0.056,102.65,"field"
88,"SME","natural","vegetated","large","Artemisia californica","shrub",64,84,64,43.8,0.325,48,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.56,"field"
90,"SME","biofilter","vegetated","large","Chondropetalum tectorum","shrub",180,210,132,167.9,0.482,146,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350.9,"field"
91,"ACTRI","biofilter","vegetated","large","Salix spp.","tree",239,NA,NA,103.5,0.483,NA,1.63,NA,1,6,29.83,NA,13.5,6.5,9.3,1.1,0.4,0.89,0.06,0.02,0.046,154.68,"field/lab"
92,"ACTRI","biofilter","vegetated","large","Salix spp.","tree",248,NA,NA,61.77,0.368,NA,1.85,NA,1,18,28.6,NA,12,5,9.41,1.5,0.3,0.9,0.06,0.03,0.042,135.22,"field/lab"
93,"Sanford","biofilter","vegetated","large","Solidago spp.","forb",11.5,12.5,10,NA,NA,NA,0.08,0.4,NA,NA,NA,9,11,4,7.59,3,0.9,2.13,0.05,0.03,0.032,0.47,NA
94,"Sanford","biofilter","vegetated","large","Solidago spp.","forb",9,11,7,NA,NA,NA,0.12,4.5,NA,NA,NA,9,8,3,5.64,2.3,0.7,1.57,0.03,0.02,0.027,0.25,NA
95,"Sanford","biofilter","vegetated","medium","Solidago spp.","forb",6.5,8,5,NA,NA,NA,0.07,1.5,NA,NA,NA,10,6,1.4,4.18,1.5,0.2,1.08,0.02,0.01,0.019,0.14,NA
96,"Sanford","biofilter","vegetated","medium","Solidago spp.","forb",8.5,8.5,4.5,NA,NA,NA,0.09,3,NA,NA,NA,8,6,0.9,3.64,1.2,0.2,0.75,0.03,0.01,0.019,0.07,NA
97,"Sanford","biofilter","vegetated","small","Solidago spp.","forb",4.5,4,3.5,NA,NA,NA,0.09,0.8,NA,NA,NA,5,4.2,3,3.22,1.4,0.7,1.04,0.03,0.02,0.024,0.04,NA
98,"Sanford","biofilter","vegetated","small","Solidago spp.","forb",5.5,4.5,2,NA,NA,NA,0.09,2.3,NA,NA,NA,5,5.2,2.7,3.9,1.9,1.1,1.56,0.04,0.02,0.03,0.09,NA
100,"SIO","biofilter","vegetated","small","Unplanted weed","forb",5,5,4.5,NA,NA,NA,0.13,NA,NA,NA,NA,17,4.5,1.8,3.1,0.7,0.25,0.53,0.03,0.01,0.022,0.08,NA
